"ID","appointment","lgbq","depression2","anxiety2","lowses","fgen","struggle2","disability2","transfer2","stigma","extent_out","csi","age3","gender3","race5"
1008,"instructor",1,1,1,0,0,1,1,0,"2.5","some","lgbq","23-49","man","white"
1048,"tenured",1,1,1,1,1,0,0,0,"3","none","lgbq","23-49","woman","white"
1055,"tenuretrack",1,0,1,0,0,0,0,0,"2","none","lgbq","23-49","man","white"
1067,"tenuretrack",1,1,1,0,0,0,0,0,"2","some","lgbq","23-49","woman","white"
1068,"tenured",1,1,1,0,0,0,0,1,"2","some","lgbq","50+","woman","white"
1072,"tenuretrack",1,0,0,0,0,1,0,0,"2","some","lgbq","23-49",NA,"white"
110,"tenured",1,0,1,NA,NA,0,0,0,"2.5","none","lgbq","23-49","man","white"
1151,"tenuretrack",1,1,1,0,0,0,0,0,"1","some","lgbq","23-49","woman","white"
1175,"tenured",1,0,0,0,1,0,0,0,"2","some","lgbq","50+","man","white"
1176,"tenuretrack",1,1,1,0,0,0,0,0,"2.5","none","lgbq","23-49","man","white"
1199,"tenured",1,1,1,0,0,0,0,0,"2","none","lgbq","23-49","man","white"
121,"tenuretrack",1,0,0,0,0,0,0,0,"3","none","lgbq","50+",NA,"white"
1221,"tenuretrack",1,1,1,0,0,0,0,0,"2","some","lgbq","23-49","woman","peer"
1228,"instructor",1,1,1,0,0,1,0,0,"2","all","lgbq","23-49","woman","white"
1231,"tenuretrack",1,1,1,0,0,0,0,0,"2","some","lgbq","23-49","woman","white"
1257,"tenuretrack",1,0,1,0,0,0,0,0,"1.5","all","lgbq","23-49","woman","white"
128,"tenured",1,0,1,0,0,0,0,0,"3","all","lgbq","50+","woman","white"
129,"instructor",1,1,1,0,0,0,0,0,"2","none","lgbq","23-49","woman","white"
1306,"tenured",1,0,0,0,1,0,0,0,"2","none","lgbq","50+","man","white"
1333,"tenured",1,1,1,1,1,0,0,0,"3","none","lgbq","50+","man","white"
1338,"tenuretrack",1,0,0,1,0,0,0,0,"3","none","lgbq","23-49","man","white"
1344,"instructor",1,1,1,1,1,0,1,0,"3","some","lgbq","23-49","woman","white"
135,"tenuretrack",1,0,1,0,0,0,0,0,"2","all","lgbq","23-49","man","white"
1411,"tenuretrack",1,1,1,0,0,0,0,0,"1.5","none","lgbq","50+",NA,"white"
1412,"instructor",1,1,1,0,0,0,0,0,"3","all","lgbq","23-49","man","peer"
1462,"instructor",1,1,1,0,0,0,0,0,"2","some","lgbq","50+","man","white"
1475,"instructor",1,1,1,1,1,1,0,1,"1.5","none","lgbq","23-49","man","white"
1485,"instructor",1,1,1,0,0,0,1,0,"2.5","all","lgbq","23-49",NA,"white"
1492,"instructor",1,1,1,1,0,1,0,0,"1","none","lgbq","23-49","woman","white"
1521,"tenured",1,1,1,0,0,0,0,0,"3","all","lgbq","50+","woman","white"
1553,"tenured",1,0,0,0,0,0,0,0,"2","none","lgbq","23-49","man","white"
1567,"tenured",1,1,0,1,1,0,0,0,"2","none","lgbq","23-49","man","white"
16,"tenuretrack",1,1,1,1,1,0,0,0,"2","some","lgbq","23-49","man","white"
1605,"tenuretrack",1,0,0,0,0,0,0,0,"3","none","lgbq","23-49","man","asian"
1618,"tenured",1,0,0,0,0,0,0,0,"2","all","lgbq","23-49","woman","white"
1656,"tenured",1,1,1,0,0,0,0,0,"2.5","all","lgbq","23-49","man","white"
1663,"tenuretrack",1,0,1,0,0,0,0,0,"2","some","lgbq","23-49","man","white"
1665,"instructor",1,0,0,1,1,1,0,0,"3","all","lgbq","23-49","man","white"
